,Document,SVM,Naive-Bayes
10,"b'Ericsson sees earnings improve\n\nTelecoms equipment supplier Ericsson has posted a rise in fourth quarter profits thanks to clients like Deutsche Telekom upgrade their networks.\n\nOperating profit in the three months to 31 December was 9.5bn kronor (\xc2\xa3722m; $1.3bn) against 6.3bn kronor last year. Shares tumbled, however, as the company reported a profit margin of 45.6%, less than the 47.3% forecast by analysts and down from 47.1% in the third quarter. Ericsson shares dropped 5.9% to 20.7 kronor in early trading on Thursday. However, the company remained optimistic about its earnings outlook after sales in the fourth quarter rose 9% to 39.4bn kronor. ""Long-term growth drivers of the industry remain solid,"" Ericsson said in a statement.\n\nChief executive Carl-Henric Svanberg explained that about ""27% of the world\'s population now has access to mobile communications"". ""This is exciting for a company with a vision of an all-communicating world,"" he added. Mr Svanberg, however, warned that the extra demand that had driven 2004 sales had already dissipated and it was ""business as usual"". He added that sales in the first three months of 2005 would be subject to ""normal seasonality"". For the whole of 2004, Ericsson returned a net profit of 19bn kronor, compared with a loss of 10.8bn kronor in 2003. Sales climbed to 131.9 billion kronor from 117.7bn kronor in 2003.\n'",business,business
11,"b'Robinson wants dual code success\n\nEngland rugby union captain Jason Robinson has targeted dual code success over Australia on Saturday.\n\nRobinson, a former rugby league international before switching codes in 2000, leads England against Australia at Twickenham at 1430 GMT. And at 1815 GMT, Great Britain\'s rugby league team take on Australia in the final of the Tri-Nations tournament. ""Beating the Aussies in both games would be a massive achievement, especially for league,"" said Robinson. England have the chance to seal their third autumn international victory after successive wins over Canada and South Africa, as well as gaining revenge for June\'s 51-15 hammering by the Wallabies. Meanwhile, Great Britain could end 34 years of failure against Australia with victory at Elland Road. Britain have won individual Test matches, but have failed to secure any silverware or win the Ashes (with a series victory) since 1970.\n\n""They have a great opportunity to land a trophy and it would be a massive boost for rugby league in this country if we won,"" said Robinson. ""I know the boys can do it - they\'ve defeated the Aussies once already in the Tri-Nations."" But Robinson was not losing sight of the task facing his England side in their final autumn international. ""For us, we\'ve played two and won two this November,"" he said. ""If we beat Australia it would be the end to a great autumn series for England. If we stumble then we\'ll be looking back with a few regrets. Robinson also revealed that the union side had sent the Great Britain team a good luck message ahead of the showdown in Leeds. ""We signed a card for them today and will write them an email on Saturday wishing them all the best,"" said Robinson. ""Everyone has signed the card - a lot of the guys watch league and we support them fully. ""Both games will be very tough and hopefully we\'ll both do well.""\n'",sport,sport
12,"b'Fit-again Betsen in France squad\n\nFrance have brought flanker Serge Betsen back into their squad to face England at Twickenham on Sunday.\n\nBut the player, who missed the victory over Scotland through injury, must attend a disciplinary hearing on Wednesday after being cited by Wasps. ""Serge has a good case so we are confident he will play,"" said France coach Bernard Laporte. The inexperienced Nicolas Mas, Jimmy Marlu and Jean-Philippe Grandclaude are also included in a 22-man squad. The trio have been called up after Pieter de Villiers, Ludovic Valbon and Aurelien Rougerie all picked up injuries in France\'s 16-9 win on Saturday.\n\nLaporte said he was confident that Betsen would be cleared by the panel investigating his alleged trip that broke Wasps centre Stuart Abbott\'s leg. ""If he was to be suspended, we would call up Imanol Harinordoquy or Thomas Lievremont,"" said Laporte, who has dropped Patrick Tabacco. ""We missed Serge badly against Scotland. He has now recovered from his thigh injury and played on Saturday with Biarritz."" France\'s regular back-row combination of Betsen, Harinordoquy and Olivier Magne were all missing from France\'s side at the weekend because of injury. Laporte is expected to announce France\'s starting line-up on Wednesday.\n\nForwards: Nicolas Mas, Sylvain Marconnet, Olivier Milloud, William Servat, Sebastien Bruno, Fabien Pelous, Jerome Thion, Gregory Lamboley, Serge Betsen, Julien Bonnaire, Sebastien Chabal, Yannick Nyanga. Backs: Dimitri Yachvili, Pierre Mignoni, Frederic Michalak, Yann Delaigue, Damien Traille, Brian Liebenberg, Jean-Philippe Grandclaude, Christophe Dominici, Jimmy Marlu, Pepito Elhorga.\n'",sport,sport
13,"b'Serena ends Sania Mirza\'s dream\n\nSania Mirza, the first Indian woman to reach the third round of a Grand Slam tennis event, has lost to women\'s favourite Serena Williams.\n\nThe 18-year-old Mirza, who got a wild card entry into the Australian Open in Melbourne, lost to Williams 1-6,4-6 in the third round. Williams took just 56 minutes to defeat Mirza and sail into the fourth round. The only other Indian woman to win a match at a Grand Slam is Nirupama Vaidyanathan. Vaidyanathan made it to the second round of the Australian Open in 1998.\n\nPlaying the biggest match of her life, Mirza made little impact on Williams in the early stages of the game. But the teenager showed more confidence in the second set and engaged the seventh-seeded Williams in some well contested rallies. Mirza, a junior Wimbledon doubles title winner, became the first Indian woman to reach the third round of a grand slam tennis event when she beat Hungarian Petra Mandula on Wednesday. ""I\'m really excited. I was confident but I didn\'t think it was going to be that easy,"" Mirza said after her second round win. ""My aim was to win a round here. When I did that I was so relieved, there was no pressure."" Tennis is not a particularly popular sport in India, but a number of Indians watched the live telecast of the match between Mirza and Williams. Mirza, who lives in the southern Indian city of Hyderabad known for producing a host of top Indian cricketers, turned professional two years ago. She says she was considered too small when she went for her first tennis classes as a six-year-old girl. ""Then finally [the coach] called my parents up and said \'the way she hits the ball, I\'ve never seen a six-year-old hit a ball like that\',"" Mirza told the Associated Press.\n'",sport,sport
14,"b'Fockers fuel festive film chart\n\nComedy Meet The Fockers topped the festive box office in North America, setting a new record for Christmas Day.\n\nThe sequel took $44.7m (\xc2\xa323.2m) between 24 and 26 December, according to studio estimates. It took $19.1m (\xc2\xa39.9m) on Christmas Day alone, the highest takings on that day in box office history. Meet The Fockers is the sequel to Ben Stiller comedy Meet The Parents, also starring Robert De Niro, Blythe Danner, Dustin Hoffman and Barbra Streisand. Despite the success of Meet The Fockers, takings were down 26.5% on 2003\'s figures - which was blamed on Christmas falling over a weekend this year.\n\n""When Christmas falls on a weekend, it\'s bad for business,"" said Paul Dergarabedian, president of Exhibitor Relations, which compiles box office statistics. The weekend\'s top 12 films took an estimated $121.9m (\xc2\xa363.3m), compared with $165.8m (\xc2\xa386.1m) last year, when the third Lord of the Rings film dominated the box office. Meet The Fockers knocked last week\'s top film, Lemony Snicket\'s A Series of Unfortunate Events, down to third place, with $12.5m (\xc2\xa36.5m). Comedy Fat Albert - co-written by Bill Cosby - entered the chart in second place after opening on Christmas Day, taking $12.7m (\xc2\xa36.6m). The Aviator, starring Leonardo DiCaprio as Howard Hughes, took $9.4m after expanding from 40 to 1,796 cinemas on Christmas Day.\n'",entertainment,entertainment
15,"b'Pop band Busted to \'take a break\'\n\nChart-topping pop band Busted have confirmed that they plan to ""take a break"", following rumours that they were on the verge of splitting.\n\nA statement from the band\'s record company Universal said frontman Charlie Simpson planned to spend some time working with his other band, Fightstar. However they said that Busted would ""reconvene in due course"". The band have had eight top three hits, including four number ones, since they first hit the charts in 2002. Their singles include What I Go To School For, Year 3000, Crashed The Wedding, You Said No, and Who\'s David?\n\nThe band, which also includes members Matt Jay and James Bourne, made the top ten with their self-titled debut album, as well as the follow-up, A Present For Everyone, in 2003. They won best pop act and best breakthrough act at the 2004 Brit Awards and were nominated for best British group. Most recently they topped the charts with the theme from the live-action film version of Thunderbirds, which was voted Record Of The Year on the ITV1 show. The band have capitalised on a craze for artists playing catchy pop music with rock overtones. The trio are seen as an alternative to more manufactured artists who are not considered credible musicians because they do not write their own songs or play their own instruments. However, recent rumours have suggested that Simpson has been wanting to quit the band to focus on Fightstar. He now plans to take Fightstar on tour.\n'",entertainment,entertainment
16,"b'Hingis to make unexpected return\n\nMartina Hingis makes her return to competitve tennis after two years out of the game at the Volvo Women\'s Open in Pattaya, Thailand, on Tuesday.\n\nShe faces German Marlene Weingartner in the first round. ""As a competitor and athlete, I always want to win. I hope my body will hold up,"" said Hingis. ""You miss being out there in a Grand Slam final and not competing. It\'s a big difference between playing and commenting for TV. I miss it a lot."" The former world number one was 22 when she retired after having surgery on both ankles, and her last WTA event was in Filderstadt, Germany, in October 2002, when she lost to Elena Dementieva. Only last year she insisted that a comeback was unlikely, but speaking in Thaliand Hingis admitted: ""I said that because I didn\'t know what would happen with my body."" Her appearance will also benefit charities in the region and the Swiss star will donate her prize money.\n'",sport,sport
17,"b'China had role in Yukos split-up\n\nChina lent Russia $6bn (\xc2\xa33.2bn) to help the Russian government renationalise the key Yuganskneftegas unit of oil group Yukos, it has been revealed.\n\nThe Kremlin said on Tuesday that the $6bn which Russian state bank VEB lent state-owned Rosneft to help buy Yugansk in turn came from Chinese banks. The revelation came as the Russian government said Rosneft had signed a long-term oil supply deal with China. The deal sees Rosneft receive $6bn in credits from China\'s CNPC.\n\nAccording to Russian newspaper Vedomosti, these credits would be used to pay off the loans Rosneft received to finance the purchase of Yugansk. Reports said CNPC had been offered 20% of Yugansk in return for providing finance but the company opted for a long-term oil supply deal instead. Analysts said one factor that might have influenced the Chinese decision was the possibility of litigation from Yukos, Yugansk\'s former owner, if CNPC had become a shareholder. Rosneft and VEB declined to comment. ""The two companies [Rosneft and CNPC] have agreed on the pre-payment for long-term deliveries,"" said Russian oil official Sergei Oganesyan. ""There is nothing unusual that the pre-payment is for five to six years.""\n\nThe announcements help to explain how Rosneft, a medium-sized, indebted, and relatively unknown firm, was able to finance its surprise purchase of Yugansk. Yugansk was sold for $9.3bn in an auction last year to help Yukos pay off part of a $27bn bill in unpaid taxes and fines.\n\nThe embattled Russian oil giant had previously filed for bankruptcy protection in a US court in an attempt to prevent the forced sale of its main production arm. But Yugansk was sold to a little known shell company which in turn was bought by Rosneft. Yukos claims its downfall was punishment for the political ambitions of its founder Mikhail Khodorkovsky. Once the country\'s richest man, Mr Khodorkovsky is on trial for fraud and tax evasion.\n\nThe deal between Rosneft and CNPC is seen as part of China\'s desire to secure long-term oil supplies to feed its booming economy. China\'s thirst for products such as crude oil, copper and steel has helped pushed global commodity prices to record levels. ""Clearly the Chinese are trying to get some leverage [in Russia],"" said Dmitry Lukashov, an analyst at brokerage Aton. ""They understand property rights in Russia are not the most important rights, and they are more interested in guaranteeing supplies."" ""If the price of oil is fixed under the deal, which is unlikely, it could be very profitable for the Chinese,"" Mr Lukashov continued. ""And Rosneft is in desperate need of cash, so it\'s a good deal for them too.""\n'",business,business
18,"b'Zambia confident and cautious\n\nZambia\'s technical director, Kalusha Bwalya is confident and cautious ahead of the Cosafa Cup final against Angola on Saturday in Lusaka.\n\nBwalya said: ""Nothing short of victory will do."" However Bwalya warned his side not to be too complacent. ""I don\'t want my team to be too comfortable or too sure of victory as it is going to be a difficult game. ""For me the main aim of the game is to enjoy and to win."" Zambia have shown their determination to win this final by recalling nine of their foreign-based players. However the 41 year-old Bwalya, who became the oldest player to appear in the competition when he played and scored against Mauritius, is uncertain whether he will take to the field or not. The Chipolopolo fans however are not being so cautious with a \'victory\' concert already scheduled for after the match featuring some of the country\'s top musicians. Both sides are hoping to win the competition for a record third time, and so keep the trophy for good. The Chipolopolo won the first two editions of the regional tournament for Southern African nations in 1997 and 1998. They were prevented from a third straight win by Angola who knocked out the Zambians at the semi-final stage in 1999. That victory for Angola also marked a first defeat in 14 years for Zambia at Lusaka\'s Independence stadium, where Saturday\'s game is being played. Angola named just four overseas-based players in their preliminary squad. The Palancas Negras have been unable to secure the release of many of their Portugal-based players.\n'",sport,sport
19,"b""Reliance unit loses Anil Ambani\n\nAnil Ambani, the younger of the two brothers in charge of India's largest private company, has resigned from running its petrochemicals subsidiary.\n\nThe move is likely to be seen as the latest twist in a feud between Mr Ambani and his brother Mukesh. Anil, 45, has stepped down as director and vice-chairman of Indian Petrochemicals Corporation (IPC). The company was not available for comment. IPC is 46%-owned by Reliance Industries which in turn is run by Mukesh. Mukesh has spoken of ownership issues between the two brothers, who took over control of the Reliance empire following the death of their father in July, 2002.\n\nReliance's operations have massive reach, covering textiles, telecommunications, petrochemicals, petroleum refining and marketing, as well as oil and gas exploration, insurance and financial services. The brothers' spat has hogged headlines in India during recent weeks, despite a denial from the family that there was anything wrong. Speculation has been rife about what has triggered the stand-off, with some observers blaming Anil's political ambitions, others the heavy investment by Mukesh and Reliance in a mobile phone venture. Shares of IPC dipped on the news in Mumbai, but recovered to trade almost 6% higher. Reliance shares added 1.7%, while Reliance Energy, headed by Anil, jumped 7%.\n""",business,business
20,"b'Michael film signals \'retirement\'\n\nSinger George Michael has said that a new film about his life is the start of a retirement from public view.\n\nThe pop star said it would be a much more ""behind the scenes affair"", and called his own genre of music ""dead"". ""I thought I should explain myself before I disappear,"" said Michael, who was at the Berlin film festival to launch the documentary. The film, A Different Story, chronicles Michael\'s life and career from the 1980s and his personal struggles. The 41-year-old chart-topper told reporters in the German capital that he wanted to ""move his career into a different form"", but added that he does not know what it is going to be yet.\n\n""I\'m still going to be making music,"" he said, but added that he was ""not going to be around"". He hinted at discontent with the current state of music industry, and said: ""I don\'t really think that there is anyone in the modern pop business who I feel I want to spar with."" Michael said that the film, directed by Southan Morris, would put his two decades of fame into context. ""It\'s almost as much for me as for my fans, in terms of trying to make sense of the last 22 years and bring it to a close in a proper way,"" he said. The documentary chronicles the highs and lows of his life in the public gaze, from his meteoric rise as one half of pop duo Wham! to his arrest for lewd conduct in a Los Angeles toilet in 1998. The film also deals with the loss of Michael\'s partner Anselmo Feleppa from an Aids-related condition in 1993. A Different Story, which is being shown at the Berlin Film Festival, has been screened by BBC One.\n'",entertainment,entertainment
